step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
10,PAYMENT,4491.22,C1177286099,16183.0,11691.78,M779064161,0.0,0.0,0,0
13,CASH_IN,307220.57,C910746626,1632842.98,1940063.55,C1624477723,5392500.13,6453881.16,0,0
13,CASH_IN,48389.4,C902502402,2765650.75,2814040.15,C1554933142,80242.83,31853.42,0,0
8,CASH_IN,85643.03,C1214232378,3954198.47,4039841.5,C1482979717,340024.59,2581338.81,0,0
16,CASH_IN,75337.82,C1529035263,4539626.61,4614964.43,C2115398687,171319.19,95981.37,0,0
11,PAYMENT,7297.52,C990876247,15626.09,8328.57,M823028833,0.0,0.0,0,0
12,CASH_IN,128602.05,C1237254945,1279054.34,1407656.39,C846851775,4427531.18,4298929.13,0,0
14,CASH_OUT,120102.15,C1931139487,5075.0,0.0,C305809034,0.0,315653.57,0,0
11,CASH_IN,156284.92,C39993967,5845.0,162129.92,C481803798,27748.0,0.0,0,0
14,PAYMENT,10944.08,C561170265,601659.6,590715.53,M1231119356,0.0,0.0,0,0
16,PAYMENT,3081.13,C1941399236,0.0,0.0,M16153882,0.0,0.0,0,0
16,PAYMENT,5524.54,C23829293,141627.01,136102.47,M681269377,0.0,0.0,0,0
10,PAYMENT,13332.39,C1008673361,21148.0,7815.61,M289205840,0.0,0.0,0,0
13,CASH_OUT,280529.5,C350395784,146858.23,0.0,C1405325375,12469.0,242375.99,0,0
8,PAYMENT,21820.67,C1294337444,383264.0,361443.33,M2062937268,0.0,0.0,0,0
17,PAYMENT,6117.59,C1457822089,619853.38,613735.79,M1837906917,0.0,0.0,0,0
9,CASH_OUT,313705.43,C548988773,20959.0,0.0,C1836239268,342770.94,656476.37,0,0
14,PAYMENT,7210.01,C541004305,0.0,0.0,M1261525850,0.0,0.0,0,0
8,TRANSFER,796735.17,C202580579,60279.0,0.0,C218598269,609.0,1288289.15,0,0
14,CASH_IN,244954.24,C1683765767,21221186.22,21466140.46,C899344442,5562817.47,6943818.12,0,0
10,CASH_OUT,94248.76,C28669254,302.0,0.0,C281632155,0.0,94248.76,0,0
11,PAYMENT,45237.65,C1295390321,298.0,0.0,M1607054634,0.0,0.0,0,0
10,CASH_IN,202185.57,C1097725843,3380489.99,3582675.56,C512626802,1822300.74,1926683.39,0,0
7,PAYMENT,17992.53,C1938483077,552.0,0.0,M321421684,0.0,0.0,0,0
17,CASH_OUT,80209.22,C1073552645,0.0,0.0,C221491664,747032.23,827241.45,0,0
13,CASH_OUT,8543.41,C566394113,354.0,0.0,C1281019843,0.0,81209.81,0,0
16,PAYMENT,1077.44,C1646899505,0.0,0.0,M165778453,0.0,0.0,0,0
14,CASH_IN,68268.85,C1768048043,600621.51,668890.35,C1066517453,218740.77,150471.92,0,0
